input,candidate,reference
"The exam will also feature ""unseen texts"" to encourage wider reading;","Die Prüfung wird auch ""unsere Texte"" zur Förderung des weiteren Lesens ""einblick"" verfassen.","In die Prüfung finden auch „ungesehene Texte“ Eingang, um zu breiterem Lesen anzuregen."
The potential was there that she could have been very seriously injured or worse.,"Das Potenzial bestand darin, dass sie sehr schwer verletzt oder schlimmer gewesen wäre.","Es bestand die Möglichkeit, dass sie sehr schwer verletzt war oder Schlimmeres."
"Otherwise BVB will impose a sanction by the end of next week, said Watzke.","Andernfalls wird die BVB bis Ende der nächsten Woche eine Sanktion durchsetzen, sagte Watzke.","Andernfalls, so Watzke, werde der BVB bis Ende der kommenden Woche eine Sanktion festlegen."
But this went way beyond the ordinary confines of a lawyer-client relationship.,Aber diese Entwicklung ging über die gewöhnlichen Beschränkungen einer Mandatsverhältnis zwischen Anwalt und Mandant hinaus.,Doch das ging weit über die Grenzen einer normalen Beziehung zwischen Anwalt und Mandant hinaus.
"The victims were said to have belonged to the competing gang, the Hell's Angels.","Die Opfer wurden gesagt, man gehörte zum Wettkampf, der Hölle der Hells Angels.",Die Opfer sollen zur konkurrierenden Gruppierung Hells Angels gehört haben.
They require these clear pathways in order to preserve their species.,"Sie erfordern diese klaren Wege, um ihre Arten zu erhalten.",Sie benötigen diese freien Verbindungen zur Arterhaltung.
"For comparison's sake, the ratio in the United States is one doctor for every 413 people.","Der Verhältnis zum Verhältnis zum Verhältnis in den Vereinigten Staaten ist ein Arzt für jeden Verhältniswahlkreis, der Menschen zum Opfer fällt.",Demgegenüber liegt das Verhältnis in den Vereinigten Staaten bei einem Arzt für 413 Personen.
"Since 2006, more than 77,000 people have been killed in conjunction with drug crime in Mexico.",Seit 2006 wurden mehr als 77.000 Menschen in Verbindung mit Drogenkriminalität in Mexiko getötet.,Seit 2006 wurden in Mexiko mehr als 77. 000 Menschen im Zusammenhang mit der Drogenkriminalität getötet.
Patek may yet appeal his sentence.,Könnte sein Satz noch einmal ansprechen.,Patek kann gegen sein Urteil noch Berufung einlegen.
Actors Orlando Bloom and Model Miranda Kerr want to go their separate ways.,Ein Orlando Orlando Bloom und Model Miranda möchten ihre eigenen Wege zu gehen.,Schauspieler Orlando Bloom und Model Miranda Kerr wollen künftig getrennte Wege gehen.
"On the Friday there will be a ceremony, and on the Saturday and Sunday a party will be held at the Kirchtalhalle.","Am Freitag wird es eine Zeremonie geben, und am Samstag, den Sonntag, den Sonntag findet in der Kirchtalhalle statt.","Am Freitag mit einem Festakt, am Samstag und Sonntag mit einem Fest rund um die Kirchtalhalle."
There are prerequisites that must be fulfilled in order to receive these subsidies from various compensation elements.,"Es sind Voraussetzungen, die erfüllt werden müssen, um diese Subventionen von verschiedenen Ausgleichszahlungen auszutauschen.",Für diese Zuschüsse aus diversen Ausgleichsstöcken gibt es Voraussetzungen.
Both ideas were rejected.,Beide Ideen wurden abgelehnt.,Beides wurde wieder verworfen.
On the happiness of dreaming camels,Auf dem Glück des Träumens von Träumen...,Vom Glück der träumenden Kamele
But stats show that I'm a black sheep when it comes to Halloween.,"Statistiken zeigen, dass ich eine schwarze Schafe, wenn es um Halloween geht.","Aber laut Statistik bin ich ein schwarzes Schaf, was Halloween angeht."
"""We will not participate in the wild card process,"" said former national team player Pascal Roller, who has been putting together the concept for a professional club in the Hansa town since 2012.","""Wir werden nicht am Wildenartenprozess teilnehmen"", sagte ehemaliger National-Team-Pilot Pascal, der seit 2012 das Konzept für einen professionellen Club in der Hansa Stadt organisiert hat.","""Wir werden nicht am Wildcard-Verfahren teilnehmen"", sagte Ex-Nationalspieler Pascal Roller, der seit 2012 das Konzept für einen Proficlub in der Hansestadt aufstellt."
"However, once a cardinal reaches 80 he is no longer permitted to participate in the election of a pope -- this falls to a group of 120 ""cardinal electors.""","Wenn ein Kardinal jedoch 80 80 erreicht, darf er nicht mehr an der Wahl eines Papstes teilnehmen – dies fällt in eine Gruppe von 120 ""Käfigen"" (Käfigbriefe).","Jedoch kann ein Kardinal, der ein Alter von 80 Jahren erreicht hat, nicht mehr an der Papstwahl teilnehmen – das fällt einer Gruppe von 120 „wahlberechtigten Kardinälen“ zu."
The transportation division's margins were affected by execution issues in a few large contracts.,Die Margen der Transporteindrückstellung waren von der Ausführung in wenigen großen Verträgen betroffen.,Die Gewinnspanne im Bereich Transport wurde durch Abwicklungsprobleme bei einigen Großverträgen beeinträchtigt.
Africa is not at all that far from Gran Canaria.,Afrika ist überhaupt nicht in diesem Falle von Gran Canaria.,Von Gran Canaria sei es nicht weit nach Afrika.
An employee of security company TSA suffered a gunshot wound to the foot.,"Ein Angestellter der Sicherheitsgeschäfte hat eine Wunde gelitten, die zum Fuß zu fassen ist.",Ein Mitarbeiter der Sicherheitsbehörde TSA habe eine Schussverletzung am Fuß erlitten.
"Saying many of the myths would be ""far too wild, far too scandalous and in some cases far too filthy to be taught in schools,"" Crossley-Holland advocated a ""careful selection"" of age-appropriate works.","Die meisten Mythen würden ""ein zu wildes, viel zu zu skandalös und in manchen Fällen zu skandalös und in manchen Fällen zu schmutzigen Schädlingen"" beigebracht, Cross-Holland eine ""jährige Auswahl der gewohnten Arbeiten"" befürwortet.","Viele der Mythen seien allerdings „bei weitem zu wild, zu anstößig und in manchen Fällen zu schmutzig, um an Schulen gelehrt zu werden“, weshalb Crossley-Holland für eine „sorgfältige Auswahl“ altersgerechter Werke plädierte."
That economic spying takes place is not a surprise.,"Dass die wirtschaftliche Spionagativität stattfindet, ist keine Überraschung.","Dass Wirtschaftsspionage stattfindet, ist keine Überraschung."
"Mayor Thomas Haas retorted: The ""Hirschen"" railway crossing is used regularly for the transportation of long logs.","Besonders erfreulich ist die Bühne, die das Schiff zu einem der wichtigsten Eisenbahnlinien in der Schweiz ermöglicht.","Bürgermeister Thomas Haas widersprach: Der Bahnübergang ""Hirschen"" werde regelmäßig für Langholztransporte genutzt."
The objective was to create a clear view at the viewpoint.,"Das Ziel bestand darin, eine klare Auffassung zu diesem Thema zu schaffen.",Ziel war die freie Sicht am Aussichtspunkt.
Passengers can already do this during the bulk of a flight but many people find it annoying to be unable to access their e-books during take-offs and landings.,"Fluggäste können dies während des Fluges bereits tun, aber viele Menschen finden es nervös, dass ihre e-Bücher während der Auslagerungen und Landungen nicht mehr in der Lage sind.","Während des Großteils des Flugs ist Passagieren dies bereits erlaubt, doch finden es viele Leute ärgerlich, dass sie beim Start und der Landung ihre E-Books nicht lesen dürfen."
The gain in unit costs is blunted compared with 10-abreast now in use.,Der Gewinn der Einheiten wird mit 10-Uhrast jetzt mit einem Gewinn gewonnen.,Die gestiegenen Kosten pro Einheit sind immer noch geringer als bei derzeit verwendeten Maschinen mit zehn Sitzen pro Reihe.
"""My husband and I have just bought a house so all my money's stuck there,"" Mrs Amirthalinga says.","""Mein Mann und ich haben gerade ein Haus gekauft, so dass mein Geld steckt fest stecken"", Frau Amalfi sagt: ""Ich hätte es gesagt.","„Mein Ehemann und ich haben gerade ein Haus gekauft, da steckt mein ganzes Geld drin“, sagt Amirthalinga."
"He realised, early on, that computers are divinities.","Er hatte früh, dass Computer-Comic-Mittel sind.","Er hat kapiert, früh schon, dass die Rechner Divinitäten sind."
Flight Centre shares were up 3c at $38.20 yesterday.,"Die Flugzelle wurde gestern um 3c bei $38,20 gerettet.","Die Aktien von Flight Centre stiegen gestern um 3 Cent auf 38,20 Dollar."
"Not yet in school and just months on from taking his first steps, the toddler and his pet Shetland pony Toffee trotted through the three rounds with ease to take the top prize - leaving their 30 adult opponents trailing behind.","Nicht in der Schule und nur Monate, wenn man sich die ersten Schritte nicht erübrigt, das Minenfeld und sein Tierhalter, das drei Runden durch die drei Runden mit der leichten Insel, die den Top-Preis gewinnen, den 30 Geburtstag hinter sich lassen.","Der Knirps, der noch nicht einmal im Kindergarten ist und erst vor ein paar Monaten seine ersten Schritte gemacht hat, und sein Shetland-Pony Toffee trabten locker durch die drei Runden und holten den ersten Preis – wobei sie 30 erwachsene Gegner hinter sich ließen."
"Milk, cheese, egg - alongside avoiding meat and fish, vegans refrain from eating all products of animal origin - even honey is not permitted.","Milch, Käse, Ei - neben der Vermeidung von Fleisch und Fisch, Bananen, Bananen, alle Produkte tierischen Ursprungs, sogar Honig ist nicht erlaubt.","Milch, Käse, Ei, neben den Verzicht auf Fleisch und Fisch lässt der Veganer vom sämtlichen Verzehr tierischer Produkte ab - auch Honig wird verneint."
Those drivers will soon pay the mileage fees instead of gas taxes to the state.,Diese Fahrer werden bald die Meilensteine anstatt Gase zu den Staatsmärkten zahlen.,Diese Fahrer werden bald die Meilengebühren statt der Mineralölsteuer an den Bundesstaat zahlen.
"According to police, the accident occurred when a 51-year-old driver of a Swiss Seat Ibiza was travelling out of town in the left lane of the two-lane Reichenaustrasse.","Nach Angaben der Polizei, als ein 51-jähriger Fahrer auf Ibiza aus dem linken Rand der Stadt reisen würde, war die Zufahrt zurück in die zwei Reichen Reichenaustrasse.","Zu dem Unfall war es laut Polizei gekommen, als ein 51 Jahre alter Fahrer eines Schweizer Seat Ibizas am Donnerstagabend, gegen 20 Uhr, auf der linken Fahrspur der zweispurigen Reichenaustraße stadtauswärts fuhr."
"Not only was he received with great applause from the audience, but was also welcomed by his sister Philippine.","Nicht nur wurde er mit großem Beifall aus dem Publikum empfangen, sondern wurde auch von seiner Schwester philippinisch begrüßt.","Er wurde nicht nur vom Publikum mit viel Applaus empfangen, auch seine Schwester Philippine hieß ihn willkommen."
"The election turned out to be a landslide, and news anchors paused to reflect on the historic nature of the hour.","Die Wahl stellte sich als Erdrutschmmer und Nachrichtenbetrebe dar, die sich an die historische Natur der Stunde wenden.","Die Wahl wurde zu einem Erdrutschsieg und Nachrichtensprecher hielten inne, um die historische Bedeutung dieser Stunde vor Augen zu führen."
The group also recommended that heavier devices should be safely stowed under seats or in overhead bins during take-off and landing.,"Die Gruppe empfiehlt außerdem, dass die stärkeren Geräte unter den Sitzen oder in den Overhead-Betten während der Abfahrt und Landung sicher gefahren werden.","Die Gruppe empfahl außerdem, schwerere Geräte bei Start und Landung sicher unter dem Sitz oder in den Fächern über den Sitzen zu verstauen."
"In Great Britain, growth stands at just 6%, and in France at 19%.",In Großbritannien liegt das Wachstum bei gerade 6 % und in Frankreich um 19 %.,"In Großbritannien lag das Plus nur bei 6%, in Frankreich bei 19%."
"During the course of the performance he has the respective active scene illuminated. Santiago's cabin and the bar of singer Marie-Luise Gunst, who sings of the Cuban lifestyle, with your songs and beautiful voice.","Während der Leistungen hat er die jeweilige aktive Szene beleuchtet und die Kabine der Sängerin Marie-Luise Gunst, der den Kubus des kubanischen Lebens mit Ihren Liedernen singt und schöne Stimme.","Im Verlauf der Aufführung setzt er die jeweils aktive Szene ins Licht: Die Hütte von Santiago, die Bar der Sängerin Marie-Luise Gunst, die mit ihren Lieder und ihrer herrlichen Stimme das Lebensgefühl Kubas besingt."
"They had also prepared a short serenade as a tribute to their honorary singer Hubert Wermter - Wolfgang Amadeus Mozart's ""Bundeslied"".","Sie hatte auch eine kurze Möglichkeit, als Ehrenmacher Hubert Wermter - Wolfgang Amadeus Mozart ""Bundeslied"" zu ehren.","Ihrem Ehrensänger Hubert Wermter bereiteten sie zur Ehrung noch ein kleines Ständchen - Wolfgang Amadeus Mozarts ""Bundeslied""."
"With a statue of Samora Machel, Mozambique's founding president, staring down on them, thousands of people gathered in central Maputo to chant peace slogans in a rare public demonstration.","Mit einer Statue von Samora Machel, die Gründungs- und Präsidentenvertretung Mosambik, wurde ihnen Tausende von Menschen in Zentralen Maputo erreicht, um die Friedensversammlungen in einer seltenen öffentlichen Demonstration zu erzwingen.","Tausende Menschen versammelten sich im Zentrum Maputos unter den wachsamen Augen der Statue von Samora Machel, dem Staatsgründer und ersten Präsidenten Mosambiks, um bei einer seltenen öffentlichen Demonstration Friedensrufe anzustimmen."
"Rather, he said, their friendships with Lord clouded their judgements about reporting him.","Er sagte, ihre Freundschaften mit ihren Scherbenwolken über ihn berichten über ihn.","Stattdessen, so sagte er, habe vielmehr ihre Freundschaft mit Lord ihr Urteilsvermögen beeinträchtigt, weshalb sie ihn nicht gemeldet hätten."
"The Administrative Department had Deutsche Bahn's reconstruction plans investigated by the Breinlinger Engineering Office, as they had doubts as to whether the planned connection of the Geroltzhäuser Weg will be straightforward.","Die Rekonstruktion des Verwaltungsrates hatte die Rekonstruktion der Wiederaufbauprozesse der Bahn AG von der Breinlinger Engineering untersucht, da sie Zweifel hatten, ob die geplante Verbindung des Geroltzhäuser Weg kompliziert werden wird.","Die Verwaltung hatte die Umbaupläne der Bahn vom Ingenieurbüro Breinlinger untersuchen lassen, da sie Zweifel daran hatte, ob der geplante Anschluss des Geroltzhäuser Wegs dann noch ohne weiteres möglich sei."
Bronze went to Rainer and Bernd Maier of the Asphaltriecher team.,Bronze ging an Rainer und Bernd Maier der Asphaltriecher.,Das Bronzetreppchen erreichten Rainer und Bernd Maier des Teams Asphaltriecher.
"Dick illustrates America - the kingdom of breathtaking technical progress, paired with paranoia, a fixation on security and the belief of having been chosen.","Dick verdeutlicht Amerika, das Königreich atemberaubender technischer Fortschritt, mit Paranoia, einer Fixierung auf Sicherheit und dem Glauben, dass man sich entschlossen hat.","Dick erklärt Amerika - das Reich des atemberaubenden technischen Fortschritts, gepaart mit Paranoia, Sicherheitswahn und dem Glauben, auserwählt zu sein."
Intersex children pose ethical dilemma.,Intersex Kinder stellen ethische Dilemma dar.,Intersexuelle Kinder stellen ein ethisches Dilemma dar.
"Leaving her a voicemail on June 18 2005, Coulson told her: ""I've got a story that we're planning to run tomorrow that I really would like to speak to Charles about.""","Das Album wurde von der Jury ausgehend von der Kirche ""Ich habe eine Geschichte, die wir planen morgen, um morgen zu führen, dass ich gerne mit Charles über die Ehe sprechen möchte"".","Am 18. Juni 2005 hinterließ Coulson ihr eine Voicemail mit folgendem Inhalt: „Ich habe eine Story, die wir morgen herausbringen wollen, über die ich gern mit Charles sprechen möchte.“"
Prof Vallortigara said he didn't think that the dogs were intentionally communicating with each other through these movements.,"Prof Vallortigara sagte er, er habe nicht denkt, dass die Hunde mit ihnen miteinander Kontakt zu diesen Bewegungen aufgenommen wurden.",Nach Ansicht von Professor Vallortigara kommunizieren die Hunde nicht absichtlich miteinander durch diese Bewegungen.
The judge had ruled in August the city violated the Constitution in the way it carried out its program of stopping and questioning people.,"Der Richter hatte im August die Verfassung verletzt, die Verfassung wurde so verfasst, wie er das Programm der Beendigung und Frage der Zustimmung der Menschen durchgeführt hat.","Die Richterin hatte im August geurteilt, die Stadt verstoße gegen die Verfassung mit der Art und Weise, wie das Programm für das Anhalten und Befragen von Personen umgesetzt werde."
"""The reason we are here is that the Labor State Government ripped $430 million out of its health system,"" he told ABC TV.","""Der Grund, warum wir hier sind, ist, dass die Regierung der Arbeiterregierung 180 Millionen aus ihrem Gesundheitssystem herausgegeben hat"", sagte er ABC ABC-Fernsehapparat.","„Wir sind deshalb in der heutigen Lage, weil die Labor-Staatsregierung 430 Millionen Dollar aus dem Gesundheitssystem abgezogen hat“, sagte er gegenüber ABC TV."
"Information online: Although Löffingen, the small town of Baar, with its 7,514 residents, can be described as having an intact infrastructure, forward-looking school, youth and senior citizens policies and its own municipal energy companies, thus far no-one has registered as a second mayoral candidate.","Informationen online: Obwohl Löffingen, die Kleinstadt Baar mit 7.514 Einwohnern beschreiben kann, kann man als unangenehme Infrastruktur, zukunftsweisende Schulen, Jugend- und Seniorenpolitik und eigene Energie-Unternehmen beschreiben, ohne dass damit ein eingetragenes Zürcher Bürgermeister zu sein hat.","Informationen im Internet: Obwohl das Baarstädtchen Löffingen mit seinen 7514 Einwohnern, einer intakten Infrastruktur, einer zukunftsweisenden Schul-, Kinder-, Jugend- und Seniorenpolitik, sowie eigenen Stadtwerken als attraktive Stadt bezeichnet werden kann, hat sich bisher noch kein zweiter Bürgermeisterkandidat gemeldet."
Supreme Court upholds Obama health care law,Supreme Court bekräftigt die Obama-Gesundheitsvorsorgegesetzgebung,Supreme Court bestätigt Obamas Gesundheitsgesetz
"NSA Blames ""Internal Error,"" Not Hackers, For Website Crash","Aufstehende Blames ""Fehler"", Not Hackers, For Site Crash","NSA erklärt, ein „interner Fehler“ und nicht Hacker seien Schuld am Crash der Website"
"""We want to involve the residents in the planning at as early a stage as possible,"" said Mayor Jens Häußler, opening the citizen's information event regarding the flood protection concept in Gechingen.","""Wir wollen die Bewohner frühzeitig in die Planung einbinden"", sagte der Bürger Jens Häußler, Öffentliche Informationen über das Veranstaltungsrecht des Hochwassers in Geing-Konzepte.","""Wir wollen die Einwohner frühzeitig in die Planung einbinden"", eröffnete Bürgermeister Jens Häußler die Bürgerinformationsveranstaltung zum Hochwasserschutzkonzept in Gechingen."
It seems the bird became exhausted and managed to find refuge on the oil rig.,"Es scheint, als wurde der Vogel erschöpft und geschafft, Zuflucht auf die Ölbohrinsel zu finden.",Anscheinend suchte der erschöpfte Vogel Zuflucht auf der Bohrinsel.
The viewer sees that joints are still carved by hand.,"Der Betrachter sieht, dass Gelenke noch von Hand geschnitzt werden.","Der Zuschauer sieht, dass das Zerlegen der Keulen weiterhin Handarbeit ist."
Bad-Dürrheim: A dream comes true for the FC,Bad-Dürrheim: Ein Traum wahr für den FC.,Bad-Dürrheim: Ein Traum wird wahr für den FC
We cannot ignore the zero tolerance policy regarding pyrotechnics in Saxony.,Wir dürfen die Null-Toleranzpolitik in den Sachsenen der Niedersachsensiebe ignorieren.,Die Null-Toleranz-Politik in Sachen Pyrotechnik können wir nicht aufgeben.
None of these traders have been accused of any wrongdoing.,Keiner dieser Händler wurde vor Gericht gestellt.,Keinem dieser Händler wurde irgendein Fehlverhalten vorgeworfen.
"In the central blocks of the south stand, blocks 12 and 13, nothing moved.","In den zentralen Siedlungen des Südens sind 12 und 13, nichts bewegt.",In den zentralen Blöcken 12 und 13 der Südtribüne regte sich nichts.
"NHTSA could not review the owner notification letter due to the 16-day government shutdown, which tempered auto sales growth in October.","NHTSA konnte den Beschreibungsschreiben nicht aufgrund des 16-tägigen Regierungszeitpunkts nachdenken, das im Oktober ein automatisches Wachstum auslöste.","Die NHTSA konnte wegen des 16-tägigen Government Shutdowns das Benachrichtigungsschreiben nicht prüfen, was sich negativ auf die Autoverkäufe im Oktober auswirkte."
Morsi's speech in Tahrir Square was filled with dramatic populist gestures.,Mursis Rede in Tahrir-Platz wurde mit dramaturischen populistischen Gesten gefüllt.,Mursis Rede auf dem Tahir-Platz war voller dramatischer populistischer Gesten.
"Prosecuting, Anne Whyte said: ""If anyone should know not to the break the law, it is a criminal solicitor.""","Das ist eine Strafverfolgungsbehörde, die sich durch die Verhältnisse der Welt zu einer derartigen Verantwortung für die Welt und die Führung der Menschen in Europa und ihre Entwicklung in der Region zu einer der wichtigsten politischen Länder in der Ukraine zu verhelfen hat.","Staatsanwältin Anne Whyte sagte: „Ein Strafrechtsanwalt sollte besser als alle anderen wissen, dass man das Gesetz nicht bricht.“"
"A spokesman for the annual horse show said: ""Fenton is only three but he knows how to handle his pony.""","Ein Sprecher für das jährliche Pferd sagte: ""Fenton ist nur drei, aber er weiß, wie man seine Pony handhabt. ""","Ein Sprecher der jährlichen Pferdeschau sagte: „Fenton ist erst drei, aber er weiß, wie er mit seinem Pony umgehen muss.“"
"The budget for ""L-Missions"" such as this lies at around one billion Euro.","Der Haushalt für ""L-Missions"" wie diese liegt bei etwa einer Milliarde Euro.","Der Etat für solche ""L-Missionen"" liegt jeweils etwa bei einer Milliarde Euro."
He identified his personal motivation as being his work in the area of auditing as a young member of parliament.,Er hat seine persönliche Motivation als seine Arbeit im Bereich der Prüfung als junger Parlamentarier erkannt.,Als seine persönlichen Beweggründe nannte er seine Arbeit im Bereich Rechnungsprüfung als junger Abgeordneter.
"The test, if adopted, would be applied through a criteria aimed at preventing 457s being used to fill unskilled positions or as a back door way to move family and friends to Australia.","Die Prüfung würde, wenn angenommen würde, durch eine Kriterien gelten, die darauf abzielen, dass die Verhütung von unqualifizierten Positionen oder als Hintertür zurückgeführt wird, um Familien- und Freunde nach Australien zu bewegen.","Sollte der Test eingeführt werden, käme er über ein Kriterium zum Einsatz, das verhindern soll, dass das 457 zur Besetzung unqualifizierter Arbeitsplätze oder als Hintertür für den Zuzug von Familie und Freunden nach Australien benutzt wird."
"However, Dick's story is not yet finished.",Die Geschichte von Dick ist allerdings noch nicht fertig.,Aber Dicks Story ist noch nicht zu Ende.
"Nowadays, I've become more of a scrooge.",Heute habe ich mehr von einem scrooge geworden.,Heute bin ich eher zum Halloween-Muffel geworden.
"However, the man found all his wheel trims nearby prior to the police arriving, on account of which no further police involvement was required.","Der Mann fand jedoch alle seine Radträger vor der Polizei, die wegen ihrer weiteren polizeilichen Einbindung nicht mehr erforderlich war.","Bis zum Eintreffen der Polizei hat der Mann seine Radzierblenden jedoch in unmittelbarer Nähe alle wieder aufgefunden, weswegen die Polizei nicht weiter tätig werden musste."
NSA revelations boost corporate paranoia about state surveillance,Zeitliche Zeichen tragen zur Unterrichtung der Paranoia über die staatliche Überwachung bei.,NSA-Enthüllungen verstärken Firmenparanoia wegen staatlicher Überwachung
"""They sent their son to school with a book-bag and he was returned to them in a body bag,"" he said.","""Sie sandten ihren Sohn in die Schule mit einem Büro-bag und wurde zu ihnen in einen Körper zurückgekehrt"", sagte er.","„Ihr Sohn ging zum Lernen in die Schule und kam im Leichensack zurück“, kommentiert er."
"Only towards the end does the highly charged performance start to wind down, and we see flashes of Winkler's somewhat absurd sense of humour.","Nur gegen Ende der Aufnahme wird die hoch angepriesene Leistung auf den Wind gesetzt, und wir sehen die Blitze Winkler etwas absurderweise für Humor.","Erst gegen Ende kommt die überdrehte Aufführung etwas zur Ruhe, und Winklers nachgerade absurder Humor blitzt auf."
"And of all possible times, Ingo Ehler's team has a derby match against TSV Daverden tomorrow, which celebrated their first victory last week.","Und alles mögliche Zeiten, Ingo Ehlers Team hat einen Derby-Matte gegen TSV Daverden, der morgen ihren ersten Sieg in der letzten Woche gefeiert hat.","Ausgerechnet jetzt kommt es für das Team von Ingo Ehlers morgen zum Derby gegen den TSV Daverden, der am vergangenen Wochenende seiner ersten Sieg gefeiert hat."
"The FDP spokesperson for social and youth-related affairs, Fritz Röhrenbeck wants to dig deeper into this.",Der FDP-Spezialpreis für gesellschaftliche und Jugendangelegenheiten Fritz Röhren will sich noch stärker in diese Richtung täuschen.,"Der sozial- und jugendpolitische Sprecher der FDP, Fritz Röhrenbeck, will hier nachhaken."
The vegan adds new spice to family parties.,Die vegane Seite fügt neue Gewürzgattungen zu.,Familienfesten verleiht der Veganer eine neue Würze.
"In the clubhouse at the ""Witteborg"" Inn in Dinker, all those present enjoyed the friendly get-together in the name of music.","Im Clubhaus in Dns Inn in Dns Inn, allen, die die freundlichen Zusammenkommen im Namen der Musik.","Im Vereinslokal der Gaststätte ""Witteborg"" in Dinker genossen alle das harmonische Miteinander ganz im Zeichen der Musik."
The second person had to be carried.,Der zweite Mensch musste durchgeführt werden.,Die zweite Person musste getragen werden.
"Rockstar is jointly owned by Apple, Microsoft, Blackberry, Ericsson and Sony.","Rockstar ist gemeinsam mit Apple, Microsoft, Blackberry, Ericsson und Sony zu besitzen.","Rockstar befindet sich im Gemeinschaftsbesitz von Apple, Microsoft, BlackBerry, Ericsson und Sony."
"You can make a gender assignment without surgery, and then see how identity develops.","Sie können eine Geschlechtsverteilung ohne Operationen machen und dann sehen, wie Identität entsteht.","Man könne eine Geschlechtszuweisung ohne Operation vornehmen und dann abwarten, wie sich die Identität entwickle."
"They estimate the additional costs they will incur as a result of the ""energy turnaround"", which they will be able to recover by means of a levy on the price of electricity.","Sie schätzen die zusätzlichen Kosten, die sie infolge des ""Energiewrucks"" erhalten, die sie durch eine Abgabe auf den Strom erholen können.","Diese beziffern die ihnen aus der Energiewende entstehenden Mehrkosten, die sie durch eine Umlage über den Strompreis erheben können."
"With a special telescope, the probe is to examine the distribution of material in the universe across the entire sky, thus enabling conclusions to be drawn regarding the properties of dark matter and dark energy.",Mit einem Sonderausfall soll die Sonde die Verbreitung von Material im gesamten Universum überprüfen und somit Schlussfolgerungen in Bezug auf die Eigenschaften von dunkler und dunkler Energie erfassen.,Mit einem speziellen Teleskop soll die Sonde die Verteilung der Materie im Universum erstmalig am gesamten Himmel untersuchen und so Rückschlüsse auf die Beschaffenheit von Dunkler Materie und Dunkler Energie ermöglichen.
"The priority must be jobs and growth in Britain and, as the findings of our poll show, for business this means a renewed focus on trade and a fundamental change in Brussels"" regulatory approach.","Die Priorität muss in Großbritannien und in Großbritannien Arbeitsplätze und Wachstum sein, denn die Erkenntnisse unserer Umfrage zeigen, dass diese Mittel einen erneuerten Schwerpunkt auf den Handel und einen grundlegenden Wechsel in der Brüsseler Regulierungsweise bedeutet.","Die Priorität müssen Arbeitsplätze und Wachstum in Großbritannien sein, wie das Ergebnis unserer Umfrage zeigt, was für Unternehmen ein verstärktes Augenmerk auf Handel und eine fundamentale Veränderung im Brüsseler Ansatz für Vorschriften bedeutet."
"Following a short flight from New York to Boston, the pupils have now arrived with their host families and are experiencing the school day at Weymouth High School.",Nach einem kurzen Flug von New York nach Boston sind die Schüler nun mit ihren Gastfamilien angekommen und erleben die Schule in der Weyacht von Weymouth High School.,Nach einem kurzen Flug von New York nach Boston sind die Schüler inzwischen in ihren Gastfamilien angekommen und erleben an der Weymouth High School den Schulalltag.
"The Independent Commission Against Corruption (ICAC) on Friday widened its inquiry into whether Mr Obeid lobbied several state ministers to have leases at Circular Quay, where the Obeids owned two restaurants and a cafe, renewed without going to tender after their expiration in August 2005.","Die unabhängige Kommission gegen Korruption (ICAC) am Freitag verstärkte sich die Untersuchung, ob Herr Obeid mehrere Staatsminister der Versicherungen an Kreuzungen in Quayindaren, wo die Obeidsiden-Geschäfte zwei Restaurants und ein Café, ohne ihren Auslauf im August 2005 zu verlängern.","Die Independent Commission Against Corruption (ICAC ­ Unabhängige Kommission gegen Korruption) hat am Freitag ihre Untersuchungen zur Frage ausgeweitet, ob Obeid verschiedene Staatsminister dahingehend beeinflusst hat, Pachtverträge am Circular Quay, wo die Obeids zwei Restaurants und ein Café betrieben, ohne Ausschreibung nach deren Auslaufen im August 2005 zu verlängern."
This was the message of the 9th 'Immobilientag' (Property Day) organised by the Börsen Zeitung (stock exchange newspaper).,Dies war die Botschaft des 9. EinImmobilientag (Einlage) organisiert durch die Börsen Zeitung (Geldwechselung).,Dies ist der Tenor des 9. Immobilientages der Börsen-Zeitung gewesen.
"Now, in her mid-fifties, Waltraud Ries has different thoughts about it.",Die Zwischenfälle von Waltraud Riesen haben jetzt in ihrer Mid-Führung andere Gedanken darüber.,Heute mit Mitte fünfzig denkt Waltraud Ries anders darüber.
"In so doing, he collided with the BMW of a 23-year-old Konstanz resident, travelling in that lane.","Dabei hat er mit dem BMW eines 23-jährigen Konstanz-Inhabers, das in dieser Spur reist, zusammengetragen.",Hierbei kam es zum Zusammenstoß mit dem dort fahrenden BMW eines 23-jährigen Konstanzers.
"""Was the matter being discussed in the course of these telephone conversations the development of the commercial lease policy,"" Assistant Commissioner Anthony Whealy asked Mr Tripodi.","""Was die Angelegenheit im Laufe dieser Telefongespräche erörterte, hatte die Kommission Herrn Tripis W.","„War das in diesen Telefongesprächen besprochene Thema die Ausarbeitung der kommerziellen Verpachtungsregelungen?“, fragte das stellvertretende Kommissionsmitglied Anthony Whealy Tripodi."
"Frontier said it will charge $25 if the fee is paid in advance, $100 if travelers wait to pay until they're at the gate.","Vierier sagte es $25, wenn die Gebühr im Voraus bezahlt wird, $100, wenn Reiserückgang bis zum Betrag, bis sie am Gate sind, auf die Gebühr.","Frontier erklärte, man berechne 25 US-Dollar, wenn die Gebühr im Voraus bezahlt werde, und 100 US-Dollar bei Reisenden, die erst am Flugsteig zahlten."
